canonical_hobby,merged_group
Video gaming (strategy/RPG),"Video gaming (strategy/RPG), Strategy video gaming, Playing strategy‑focused video games, Strategy Video Games, Competitive video gaming (team shooters, strategy games), Strategy video gaming (Civilization, StarCraft), Video gaming (action/strategy), Playing strategy video games, Strategy video games, Strategy video games (e.g., Civilization), Strategic video games, Strategic video gaming (e.g., Minecraft, Mario Kart), Video gaming (strategy and simulation), Video gaming (strategy and multiplayer), Strategic video gaming (e.g., Civilization), Video gaming (Minecraft, strategy RPGs), Strategic video gaming, Strategy video games (e.g., turn-based RPGs), Video gaming (open‑world and strategy), strategy video games, strategy video gaming, Playing Strategy Video Games, Strategy Video Gaming, Playing strategy RPG video games, video gaming (strategy/simulation), Playing video games (strategy and simulation), Video gaming (competitive shooters), Video gaming (strategy and sports titles), Multiplayer video gaming (strategy games), Video gaming (strategy games), Strategy gaming, Strategy video games (e.g., Civilization, StarCraft)"
Improv theater class,"Improv theater class, Improv theater workshops, Improv Theatre, Improv theater, participating in improv theater workshops, Improv Theater, Improv theater participation, Improv theater performance, Community improv theater, school theatre improv, improv theater, improv theatre, Improv theatre, Community theater improv, improv theater participation"
attending small community art gatherings,"attending small community art gatherings, Attending small‑group art exhibitions and community theater, attending local art events, Attending small art gatherings, Attending small craft fairs and community art shows, Participating in small community gatherings, Curating small art gatherings, Attending community art workshops"
Dance class,"Dance class, line dancing classes, Group dance classes, Participating in local dance classes, Community dance classes, Hip‑Hop Dance Classes, Community Dance Classes, Senior dance class, Hip‑hop dance classes"
Watching Cleveland Browns football,Watching Cleveland Browns football
Illustration and sketching,"Illustration and sketching, Sketching and digital art, Painting and Sketching, Sketching and basic digital illustration, digital drawing and illustration, Sketching and Painting, Digital illustration and sketching, Sketching and urban drawing, Sketching and scientific illustration, Sketching and comic illustrations, Sketching and photography, hand sketching, Sketching and visual design, Painting and sketching, Sketching and painting, Drawing and illustration, painting and sketching, Painting & Sketching, Sketching and digital illustration"
collecting vintage postcards,"collecting vintage postcards, Collecting vintage Kentucky postcards, Collecting vintage postcards, Collecting vintage Chesapeake Bay postcards, Vintage postcard collecting, Collecting vintage postcards and stamps, Collecting vintage travel posters and postcards, Collecting Vintage Mexican Postcards"
Fishing in local streams,"Fishing in local streams, Fly fishing on local rivers, Fishing on local lakes, fishing at local lakes, Freshwater Fishing, fishing, Fishing on local lakes and rivers, Fishing in local lakes and rivers, Fishing in local streams and lakes, River fishing, Fishing at local lakes, Fishing at local rivers and lakes, Fishing"
"Reading (history, biography, economics)","Reading (history, biography, economics), Reading (history, philosophy, biographies), Reading (economics, science, personal development), Reading (art history, philosophy, behavioral economics), Reading non‑fiction (history of science, economics)"
Watching classic sci-fi series,"Watching classic sci-fi series, Watching sci‑fi movies and series, Watching classic sci‑fi series, Watching sci‑fi TV series"
Cooking Italian Cuisine,"Cooking Italian Cuisine, Cooking traditional Italian dishes, Experimental cooking (Italian cuisine), Cooking Italian Meals, Cooking Southern and Italian dishes, Cooking Italian cuisine, Cooking traditional Italian cuisine, Cooking Italian meals for friends and family, Cooking Italian family recipes"
Woodworking (bench and birdhouse making),"Woodworking (bench and birdhouse making), woodworking (birdhouses, small furniture), Woodworking (bench and birdhouse building), Woodworking (birdhouses, small furniture)"
Dance Workshops,"Dance Workshops, Community dance workshops, Cultural festival dance workshops"
Card and board games,"Card and board games, board games, Board games, Playing Board Games, playing card games, Card games, Playing cards and board games, Card Games, Playing board games, Playing card games, Board Games"
Comic books,"Comic books, Reading comic books, Collecting comic books, comic book collecting"
reading historical novels and poetry,"reading historical novels and poetry, reading classic literature and poetry, Reading (historical fiction), Reading historical non‑fiction and poetry, Reading historical and literary fiction, Reading historical and cultural novels, Reading Historical Novels, Reading historical fiction, Reading Classic Fiction and Poetry, Reading historical books, Reading historical and literary novels, Reading historical fiction and poetry, Reading literature and history, reading graphic novels and poetry, reading historical fiction, Reading Contemporary Fiction and Poetry, Reading classic literature and poetry, Reading historical and educational literature, Reading historical novels and poetry, Reading contemporary fiction and poetry, Reading historical fiction and art books, Reading literary fiction and poetry, Reading (historical fiction, poetry), Reading historical novels and art monographs, Reading historical fiction and classic literature, Reading historical nonfiction and classic literature, Reading historical biographies and art books, Reading poetry and historical biographies, Reading classic literature and historical non‑fiction, Reading Historical Fiction, Reading historical and literary works, Reading historical novels, Reading modern literature and history, reading historical novels, reading contemporary fiction and poetry"
"pretend role‑play (firefighter, doctor)","pretend role‑play (firefighter, doctor), pretend role-play (firefighter, doctor, builder), Pretend play (firefighter, construction worker), Pretend play as a firefighter or police officer"
